value,label,description
1000,Home loans to veterans description
1500,Multifamily Housing programs,$1.5B to assist in the new construction, rehabilitation, and preservation of permanent and transitional rental housing for low-income residents
150,Transit-oriented development,$150M to provide local assistance to develop higher density uses near transit stations that will increase public transit ridership
300,Infill development,$300M for parks, water/sewer, transportation, and traffic mitigation around housing designated as infill
150,Home buying assistance,description
300,Farmworker displacement mitigation,for building and fixing housing for agricultural employees or for buying manufactured housing as part of a program to address and remedy the impacts of current and potential displacement of farmworker families from existing labor camps mobilehome parks, or other housing
300,Loans for affordable housing,description
300,self-help housing description
