v,l,d
1000,Home loans to veterans,home loan assistance to veterans
1800,Multifamily Housing programs,$1.5B to assist in the new construction, rehabilitation, and preservation of permanent and transitional rental housing for low-income residents
450,Infrastructure Programs,description
450,Homeownership Programs,description
300,Farmworker Housing Program,description
